club_id,club_name,city,state,country,address,timestamp_updated,distance,course_id,course_name,num_holes,has_gps,zip_code,lat,lng
1.41521E+17,Alpine Golf Club,Comstock Park,MI,USA,6320 Alpine Nw,6/24/2022 9:05,,1.21415E+19,Alpine,18,TRUE,,29.98907375,-124.2797543
1.41521E+17,Arrowhead Golf Course,Lowell,MI,USA,2170 Alden Nash Ne,9/1/2022 5:54,,1.21415E+19,Arrowhead,18,TRUE,,37.81425173,-97.78078652
1.41521E+17,Belle River Golf Course,Memphis,MI,USA,12564 Belle River Road,8/22/2022 4:41,,1.21415E+19,Belle River,18,TRUE,,39.21272074,-107.5069031
1.71985E+15,Benona Shores,Shelby,MI,USA,3410 Scenic Dr,7/1/2024 17:28,,1.2172E+17,Benona Shores,18,FALSE,,38.89153117,-90.25611538
1.22939E+12,Black River Country Club,Port Huron,MI,USA,3300 Country Club Drive,9/7/2022 7:05,,1.21229E+14,Black River GC,18,TRUE,,26.68238567,-107.7407589
1.41521E+17,Boulder Creek Golf Club,Belmont,MI,USA,5750 Brewer Ave Ne,9/20/2022 6:53,,1.21415E+19,Boulder Creek,18,TRUE,,46.32234391,-107.5850678
1.41521E+17,Brae Side Golf Club at Cortland Hills,Rockford,MI,USA,5460 11 Mile Rd Ne,4/14/2021 16:19,,1.21415E+18,Brae Side at Cortland Hills,18,FALSE,,31.03313514,-81.84616734
1.33225E+15,Braeside Golf Club,Rockford,MI,USA,5460 11 Mile Rd Ne,4/14/2021 16:19,,1.21332E+14,Braeside,18,FALSE,,27.63263333,-122.2045655
1.21241E+12,Brewer Park,Byron Center,MI,USA,399 84Th Street Southeast,9/18/2023 15:07,,1.21212E+14,18-hole course,18,TRUE,,46.60438946,-72.57301386
1.41521E+17,Briar Hill Golf Course,Fremont,MI,USA,950 W 40Th St,4/14/2021 16:19,,1.21415E+19,Briar Hill,18,FALSE,,48.27617542,-75.51293166
1.41521E+17,Briarwood Golf Club,Caledonia,MI,USA,2900 92Nd St Se,11/10/2022 11:37,,1.11415E+19,Front + Front,18,TRUE,,45.93919601,-86.22363391
1.41521E+17,Briarwood Golf Club,Caledonia,MI,USA,2900 92Nd St Se,11/10/2022 11:37,,1.21415E+19,Front + Back,18,TRUE,,44.62453615,-90.55433445
1.41521E+17,Briarwood Golf Club,Caledonia,MI,USA,2900 92Nd St Se,11/10/2022 11:37,,1.31415E+19,Front + East,18,TRUE,,40.76952737,-73.18807176
1.41521E+17,Briarwood Golf Club,Caledonia,MI,USA,2900 92Nd St Se,11/10/2022 11:37,,2.11415E+19,Back + Front,18,TRUE,,38.16115952,-114.2387234
1.41521E+17,Briarwood Golf Club,Caledonia,MI,USA,2900 92Nd St Se,11/10/2022 11:37,,2.21415E+19,Back + Back,18,TRUE,,26.56993751,-120.4146216
1.41521E+17,Briarwood Golf Club,Caledonia,MI,USA,2900 92Nd St Se,11/10/2022 11:37,,2.31415E+19,Back + East,18,TRUE,,34.60275731,-111.092739
