club_id,club_name,city,state,country,address,timestamp_updated,distance,course_id,course_name,num_holes,has_gps,zip_code,lat,lng
141520610923847000,Alpine Golf Club,Comstock Park,MI,USA,6320 Alpine Nw,2022-06-24 09:05:47,,012141520849386649829,Alpine,18,True,,29.98907375006845,-124.27975429982212
141520610924212000,Arrowhead Golf Course,Lowell,MI,USA,2170 Alden Nash Ne,2022-09-01 05:54:47,,012141520849523829630,Arrowhead,18,True,,37.81425172798176,-97.78078651507832
141520610924935000,Belle River Golf Course,Memphis,MI,USA,12564 Belle River Road,2022-08-22 04:41:42,,012141520850075772750,Belle River,18,True,,39.21272073882122,-107.50690308990845
1719850046607060,Benona Shores,Shelby,MI,USA,3410 Scenic Dr,2024-07-01 17:28:27,,0121719850992417531,Benona Shores,18,False,,38.89153116576162,-90.25611538053238
1229392259365,Black River Country Club,Port Huron,MI,USA,3300 Country Club Drive,2022-09-07 07:05:55,,0121229392259365,Black River GC,18,True,,26.68238566723697,-107.74075888314182
141520610926044000,Boulder Creek Golf Club,Belmont,MI,USA,5750 Brewer Ave Ne,2022-09-20 06:53:50,,012141520850915208629,Boulder Creek,18,True,,46.322343908451074,-107.58506782512899
141520610926608000,Brae Side Golf Club at Cortland Hills,Rockford,MI,USA,5460 11 Mile Rd Ne,2021-04-14 16:19:38,,01214152085152674427,Brae Side at Cortland Hills,18,False,,31.033135144208718,-81.84616734257399
1332247669768470,Braeside Golf Club,Rockford,MI,USA,5460 11 Mile Rd Ne,2021-04-14 16:19:06,,0121332247557796,Braeside,18,False,,27.632633328760775,-122.20456552749744
1212411934261,Brewer Park,Byron Center,MI,USA,399 84Th Street Southeast,2023-09-18 15:07:20,,0121212411934261,18-hole course,18,True,,46.604389457169994,-72.57301385932932
141520610926987000,Briar Hill Golf Course,Fremont,MI,USA,950 W 40Th St,2021-04-14 16:19:38,,012141520851645389399,Briar Hill,18,False,,48.27617542033999,-75.51293166001005
141520610927182000,Briarwood Golf Club,Caledonia,MI,USA,2900 92Nd St Se,2022-11-10 11:37:41,,011141520851737654630,Front + Front,18,True,,45.93919600660995,-86.22363391244491
